id,source,target,type,label,weight
E063,P020,P027,terminology_reuse,multi-CDM DRM bridge architecture,3
E064,P001,P025,terminology_reuse,cryptographic content key validation,2
E065,P001,P027,terminology_reuse,crypto key enforcement across DRM systems,2
E066,P021,P028,terminology_reuse,secured display pipeline vocabulary,3
E067,P021,P029,terminology_reuse,encrypted input pipeline and exfiltration prevention,3
E068,P021,P030,terminology_reuse,GPU cryptographic element secure video pipeline,3
E069,N002,P028,terminology_reuse,media pipeline integrity → secure display pipeline,2
E070,N002,P029,terminology_reuse,media input chain protection,2
E071,P020,P021,conceptual_influence,DRM component architecture → VDI video decryption layer,3
E072,P020,P030,terminology_reuse,hardware DRM decryption → GPU secure pipeline,2
E073,P001,P031,forward_citation,cited by IBM entity cert mgmt,4
E074,P001,P032,forward_citation,cited by IBM key rotation variant,4
E075,P001,P033,forward_citation,cited by Qualcomm fast signing SoC,4
E076,P001,P034,forward_citation,cited by CTM deepfake detection,4
E077,P001,P038,forward_citation,cited by CN hash chain integrity,3
E078,P002,P035,forward_citation,cited by NVIDIA staggered auth,4
E079,P002,P036,forward_citation,cited by Fraunhofer verification chain,4
E080,P002,P037,conceptual_influence,terminology and architecture parallel,3
E081,N001,P034,terminology_reuse,tamper-evident media chain concept,3
E082,N002,P034,conceptual_influence,MIA integrity assertion in AI deepfake context,3
E083,P021,P035,conceptual_influence,VDI secured pipeline to GPU streaming auth,2
E084,N001,P039,terminology_reuse,provenance manifest at mobile capture,3
E085,P002,P039,conceptual_influence,live-stream key to camera session key,3
E086,N001,P040,terminology_reuse,provenance manifest at Nikon capture,3
E087,P002,P040,conceptual_influence,ephemeral session key for video provenance,3
E088,N001,P041,terminology_reuse,assertion graph for AI output provenance,3
E089,P017,P041,conceptual_influence,OpenAI to Anthropic AI provenance pattern,2
E090,N001,P042,terminology_reuse,tamper-evident chain for human rights media,3
E091,S001,P042,standard_influence,C2PA to human rights implementation,3
E092,S001,S006,standard_influence,C2PA to MPEG AI content ID,4
E093,N001,S006,conceptual_origin,AMP assertion graph as foundational prior art,4
E094,S001,I011,implementation,YouTube adopts C2PA labels,4
E095,P013,I011,conceptual_influence,SynthID to YouTube AI label UX,3
E096,N001,I011,conceptual_influence,AMP authenticity signal UI to YouTube label,4
E097,S001,I012,implementation,Nikon adopts C2PA hardware signing,4
E098,P040,I012,implementation,Nikon prov. patent to Nikon camera product,3
E099,S001,I013,implementation,TikTok reads C2PA credentials,3
E100,I007,I013,conceptual_influence,Instagram to TikTok AI labeling pattern,2
E101,N001,I013,conceptual_influence,AMP authenticity signal to TikTok UX,3
E102,P034,S001,standard_influence,deepfake detection aligns to C2PA,3
E103,P033,S001,conceptual_influence,Qualcomm SoC signs C2PA manifests,3
E104,P036,S001,standard_influence,Fraunhofer verification chains use C2PA,3
