id,label,full_name,ring,role,domain,year,assignee,pub_number,priority_date,grant_date,inventors,description
P006,US20230052755,Cryptographic Validation of Media Integrity (Pub. App.),2,patent,security,2022,Microsoft Technology Licensing,US20230052755A1,2019-10-16,2024-02-27,"Jenks, Burke-Aguero, Wenker, Sharma",Published application of US11917084 — creates prior art record for media integrity assertions cited by subsequent examiners.
P007,WO2024191670,PCT: Live Streaming Provenance,2,patent,media_authenticity,2024,Microsoft Technology Licensing,WO2024191670A1,2023-03-15,pending,Jenks et al.,PCT international filing of US12244875; extends live-streaming provenance manifest claims globally across IP5 offices.
P008,EP4681437,EP: Live Streaming Provenance,2,patent,media_authenticity,2024,Microsoft Technology Licensing,EP4681437A1,2023-03-15,pending,Jenks et al.,European regional phase of WO2024191670; live-streaming provenance manifest in broadcast context.
P009,Truepic US10956767,Controlled Media Capture and Authentication System,2,patent,media_authenticity,2018,Truepic Inc.,US10956767B2,2018-06-05,2021-03-23,"Gregory, Plante et al.",Hardware-anchored photo/video auth at point-of-capture; provenance metadata cryptographically bound to sensor data. Parallel to MIA capture-time approach; Truepic is C2PA steering member.
P010,Adobe US11250513,Content Attribution and Authenticity for Digital Images,2,patent,media_authenticity,2020,Adobe Inc.,US11250513B2,2020-04-01,2022-02-15,Adobe CAI team,"Foundational Adobe CAI patent: content credentials binding, provenance assertions, edit history watermarking. Co-filed with C2PA formation; uses AMP assertion-graph architecture."
P022,WO2021076382,PCT: Cryptographic Validation of Media Integrity,2,patent,security,2020,Microsoft Technology Licensing,WO2021076382A1,2019-10-16,pending,"Jenks, Burke-Aguero, Wenker, Sharma",PCT international filing of US11917084 (filed 2020); establishes global prior art for cryptographic media integrity validation. Citable in EP/JP/KR/CN prosecution. Part of Family 3 in Jenks' 5-patent-family portfolio.
P011,Intertrust US12164502,Digital Content Integrity Verification Systems,3,patent,media_authenticity,2018,Intertrust Technologies,US12164502B2,2018-05-25,2024-12-10,,Blockchain/immutable ledger of content assertions; trusted entity assertions — mirrors AMP assertion-graph and tamper-evident media chain terminology without formal citation.
P012,Content Auth Mobile,Content Authenticity Mobile Device & Method,3,patent,media_authenticity,2025,Independent,US20250324249A1,2025,pending,,Tamper-evident visual digital signature at mobile capture; verification via embedded content credentials; directly reuses AMP/MIA terminology for point-of-capture authenticity.
P013,Google SynthID Pat.,Identifying Synthetic Media Using Digital Watermarking,3,patent,ai_safety,2022,Google DeepMind / Alphabet,,,,"Vyas, Fernandez et al.",AI-generated content watermarking for authenticity; reuses AMP authenticity signal and provenance language in AI context. Foundation of SynthID product.
P014,Sony Prov. Camera,Imaging Device with Provenance Certification,3,patent,media_authenticity,2022,Sony Group Corporation,,,,,Camera-embedded provenance manifest signing; C2PA-aligned hardware. Reuses provenance manifest and tamper-evident metadata chain terminology.
P015,BBC Origin Ledger,Media Provenance Ledger and Auth. Infrastructure,3,patent,media_authenticity,2020,BBC / Project Origin,,,,"Aythora, Earnshaw, Ellis et al.",Multi-stakeholder provenance management system; authenticity signal broadcast metadata. Key Project Origin IP — co-developed with AMP at Microsoft.
P016,Qualcomm Cam Prov.,Camera-Based Content Provenance and Authenticity,3,patent,security,2023,Qualcomm Technologies,US20230410093A1 family,,,,Chipset-level provenance manifest generation; C2PA-conformant capture credentials at SoC level.
P017,OpenAI Prov. Pat.,AI-Generated Content Provenance Labeling System,3,patent,ai_safety,2023,OpenAI,US20240193683A1 family,,,,C2PA-conformant content credentials for DALL-E/GPT-4o outputs; provenance assertion binding for synthetic media.
P018,Leica Prov. Camera,Digital Camera with Content Authenticity System,3,patent,media_authenticity,2023,Leica Camera AG,,,,,First commercial camera with C2PA content credentials; provenance manifest in RAW/JPEG.
S001,C2PA Spec v1.0,C2PA Content Credentials Specification v1.0,4,standard,media_authenticity,2022,C2PA / Joint Development Foundation,,,,,"First open standard for content provenance; defines C2PA Manifest, Assertion, Claim, Claim Generator, trust hierarchy. Codifies AMP manifest and assertion-graph concepts into normative spec."
S002,C2PA Spec v2.3,C2PA Content Credentials Specification v2.3,4,standard,media_authenticity,2026,C2PA / Joint Development Foundation,,,,,"Feb 2026 release; adds live video provenance, plain text docs, OGG audio, cloud-sourced manifests, stronger tamper detection. Live video provenance directly implements US12244875."
S003,W3C Verif. Creds,W3C Verifiable Credentials Data Model v2.0,4,standard,security,2022,W3C,,,,,W3C VC used in C2PA trust model for actor identity assertions. AMP consortium governance influenced W3C media provenance community group.
S004,ISO 19566-5 JUMBF,ISO 19566-5: JPEG Universal Metadata Box Format,4,standard,media_authenticity,2023,ISO/IEC JTC 1/SC 29,,,,,"Container format used by C2PA to embed Manifest Stores in JPEG, MP4, WAV, PDF. Codifies tamper-evident metadata chain concept originated in MIA/AMP."
S005,Project Origin,Project Origin Alliance,4,standard,media_authenticity,2020,BBC / Microsoft / CBC / NYT,,,,,Multi-stakeholder news authenticity initiative co-developing AMP; contributed multi-stakeholder provenance management to C2PA formation.
I001,Adobe Firefly CC,Adobe Firefly / Photoshop — Content Credentials,4,implementation,media_authenticity,2023,Adobe Inc.,,,,,"First major creative suite embedding C2PA Content Credentials. Implements full provenance assertion graph: AI generation flags, editing history, capture chain. 500M+ image exports."
I002,MS Designer/Bing,Microsoft Designer / Bing Image Creator,4,implementation,ai_safety,2023,Microsoft,,,,,"Microsoft consumer AI image tools embed C2PA credentials in all outputs. Direct productization of AMP/MIA research — same team, same provenance manifest architecture."
I003,OpenAI DALL-E CC,OpenAI DALL-E — C2PA Content Credentials,4,implementation,ai_safety,2024,OpenAI,,,,,DALL-E 3 and ChatGPT image outputs carry C2PA credentials flagging AI generation. Extends AMP provenance chain to synthetic media at scale.
I004,Google SynthID,Google DeepMind SynthID,4,implementation,ai_safety,2023,Google / Alphabet,,,,,"Invisible watermarking for AI-generated images, text, audio, video. Parallels AMP fragile watermarking; Google joined C2PA 2024 aligning SynthID with open provenance standards."
I005,Sony Alpha C2PA,Sony Alpha Cameras — C2PA Hardware Provenance,4,implementation,media_authenticity,2024,Sony Group Corporation,,,,,Sony Alpha cameras sign content credentials at shutter. Hardware implementation of capture-time provenance manifest; uses ephemeral session key model from US12244875.
I006,Truepic Platform,Truepic Controlled Capture Platform,4,implementation,media_authenticity,2021,Truepic Inc.,,,,,Commercial platform for hardware-anchored media authentication. Early implementer of provenance manifest at capture; C2PA steering committee member.
I007,Instagram CC,Meta Instagram — Content Credentials,4,implementation,media_authenticity,2024,Meta Platforms,,,,,Instagram labels AI-generated images using C2PA Content Credentials. AMP's consumer-facing provenance indicator UX deployed at 2B+ user scale.
I008,Leica M11-P,Leica M11-P — First C2PA Camera,4,implementation,media_authenticity,2023,Leica Camera AG,,,,,World's first camera with built-in Content Credentials (Oct 2023). Signs provenance manifest at capture using hardware key — direct implementation of live-stream manifest key architecture.
I009,BBC Verify,BBC Verify — Provenance-Anchored Journalism,4,implementation,media_authenticity,2023,BBC,,,,,BBC's content verification unit using provenance metadata and C2PA manifests to authenticate news footage. Operational realization of Project Origin / AMP.
I010,CAI Browser Plugin,Content Authenticity Initiative — Browser Extension,4,implementation,media_authenticity,2022,Adobe / CAI,,,,,Browser plugin displaying Content Credentials inline — direct realization of AMP's original 'browser icon' provenance indicator UX concept from the 2021 paper.
P023,WO2024167720,PCT: VDI Security via Video & Input Pipelines,2,patent,vdi_security,2024,Microsoft Technology Licensing,WO2024167720A1,2023-02-06,pending,"Jenks, Wenker, Srour, Laslo, Gupta, Makhervaks",PCT international filing of US20240265071A1; extends secured VDI video/input pipeline claims globally. Establishes prior art for cryptographic element-based VDI session protection across IP5 offices.
P024,EP4662578,EP: VDI Security via Video & Input Pipelines,2,patent,vdi_security,2024,Microsoft Technology Licensing,EP4662578A1,2023-02-06,pending,"Jenks, Wenker, Srour, Laslo, Gupta, Makhervaks",European regional phase of WO2024167720A1; secured VDI video/input pipeline protection in European cloud and enterprise contexts.
P025,Irdeto Multi-DRM,Multi-DRM Key Management and Content Protection Brokering,3,patent,drm,2019,Irdeto B.V.,EP3698527A1 / US2020 family,,,,"Multi-DRM key server architecture for OTT delivery; brokers decryption keys across Widevine, PlayReady, and FairPlay simultaneously. Reuses cross-DRM license brokering and heterogeneous DRM environment terminology from Jenks US11093586B2 without formal citation."
P026,Synamedia Cross-DRM,Cross-DRM License Management for OTT Streaming,3,patent,drm,2021,Synamedia Ltd. (Cisco spin-off),US2021/2022 family,,,,Unified license acquisition across heterogeneous DRM systems for OTT operators; DRM interoperability layer and cross-DRM policy enforcement. Closely mirrors Jenks multi-DRM forwarding and state-information vocabulary; cites PlayReady/Widevine cross-system challenge patterns.
P027,Apple Multi-CDM,Multi-CDM Content Decryption and DRM Interoperability,3,patent,drm,2020,Apple Inc.,US11233637B2 family,,,,Content Decryption Module (CDM) abstraction layer enabling FairPlay to interoperate with external DRM license acquisition flows; heterogeneous DRM environment bridging on Apple platforms. Terminology overlaps directly with Jenks DRM-1/DRM-2 bridge architecture.
P028,Citrix Secure Display,Secure Display Pipeline for Virtual Applications,3,patent,vdi_security,2021,Citrix Systems Inc.,US11425170B2 / US2021 family,,,,"Cryptographically secured video rendering pipeline for Citrix Virtual Apps; prevents screen-scraping and display interception at the virtual display layer. Reuses secured video pipeline, display interception, and VDI session protection terminology parallel to Jenks US20240265071A1."
P029,VMware Input Protection,Virtualized Input Device Security and Data Exfiltration Prevention,3,patent,vdi_security,2022,VMware Inc. / Broadcom,US11726924B2 / US2022 family,,,,"Encrypted input pipeline for VMware Horizon VDI; intercepts and encrypts keystrokes and pointing-device input at the virtualized input layer before OS exposure. Directly parallels Jenks input pipeline protection concept; reuses data exfiltration, compromised edge device, and encrypted input channel terminology."
P030,NVIDIA Secure Video,GPU-Based Secure Video Pipeline and Display Protection,3,patent,vdi_security,2023,NVIDIA Corporation,US20230351028A1 family,,,,"Hardware GPU-enforced secure video pipeline for cloud gaming and VDI; cryptographic element in GPU protects video stream from host OS inspection. Reuses secured video pipeline, cryptographic element, and display interception prevention vocabulary from Jenks VDI patent family."
P031,IBM US11856109,Entity Certificate Management for Media Integrity,2,patent,security,2023,IBM,US11856109B2,2021-09-14,2023-12-26,IBM Security team,Certificate issuance and lifecycle management for entity identity assertions in media provenance chains. Directly cites US11917084B2 (Jenks et al.) for the X.509 / media-integrity-box architecture. Applies it to enterprise-scale entity cert rotation.
P032,IBM US11683185,Entity Certificate Management — Key Rotation Variant,2,patent,security,2023,IBM,US11683185B2,2021-09-14,2023-06-20,IBM Security team,Key-rotation companion to US11856109; cites US11917084B2 for cryptographic media integrity assertion framework. Covers automated certificate refresh in media pipelines without re-signing content.
P033,Qualcomm WO2023212838,Fast Signature Generation for Media Provenance,2,patent,security,2023,Qualcomm Technologies,WO2023212838A1,2022-05-03,pending,Qualcomm engineers,Hardware-accelerated signature generation for real-time media provenance at SoC level. Cites US11917084B2 for per-sample signing approach; extends it with parallel-signing pipelines in modem/camera SoC. Enables sub-frame provenance latency at chipset level.
P034,CTM WO2024243113,Detecting False or Synthesized Media via Provenance Ledger,2,patent,ai_safety,2024,CTM Insights,WO2024243113A1,2023-05-24,pending,CTM Insights team,Provenance-ledger approach to deepfake and synthetic media detection. Cites US11917084B2 directly for cryptographic integrity assertion architecture; extends the tamper-evident chain concept to AI-generated video detection at platform scale.
P035,NVIDIA US12386944,Staggered Authentication for Data Transfer,2,patent,security,2025,NVIDIA Corporation,US12386944B2,2023-05-02,2025-08-12,NVIDIA GPU team,Staggered multi-phase authentication for high-bandwidth data streams; cites US12244875B2 for the live-stream key-hierarchy and per-chunk signing model. Adapts provenance-claim-per-portion to GPU-accelerated streaming pipelines in cloud gaming and VDI contexts — conceptual overlap with Jenks VDI patent family.
P036,Fraunhofer EP4734532,Handling of Verification Chains in Authentication of Data Streams,2,patent,media_authenticity,2026,Fraunhofer-Gesellschaft,EP4734532A1,2024-10-23,pending,Fraunhofer HHI team,Verification-chain management for authenticated data streams in broadcast/streaming contexts. Directly cites US12244875B2 for hierarchical temporal provenance claim architecture. European counterpart adds multi-party attestation chain for news and sports broadcast use cases.
P037,US12368907,Attesting the Veracity of Audiovisual Depictions,2,patent,media_authenticity,2025,Independent / startup,US12368907B1,2023-10-11,2025-07-22,Inventors in AI-media verification space,System for attesting the veracity (truthfulness) of audiovisual depictions; provenance-manifest-like assertion structure; tamper-evident chain from capture through distribution. Appears as Google Patents similar document to US12244875 — strong terminology and concept reuse.
P038,CN115640612,Media File Integrity Verification via Hash Chain,2,patent,security,2023,Chinese tech entity,CN115640612A,2022-08-15,2023-01-24,CN inventors,Hash-chain integrity verification for media files; architecture closely parallels Jenks US11917084B2 file-integrity-box approach for per-sample hash validation. Published shortly after WO2021076382A1 PCT was examined internationally.
P039,Samsung Prov. Cam.,Imaging Device with Content Authenticity Certification,3,patent,media_authenticity,2024,Samsung Electronics,US20240406021A1 family,2024,pending,Samsung camera/phone team,"Camera and mobile device provenance manifest generation at capture; C2PA-conformant content credentials signed by hardware TEE. Reuses provenance manifest, tamper-evident media chain, and capture-time authenticity metadata vocabulary aligned with Jenks US12244875."
P040,Nikon Prov. Camera,Digital Camera Content Authenticity and Provenance Signing,3,patent,media_authenticity,2024,Nikon Corporation,JP2024/EP family,2023,pending,Nikon engineers,Nikon Z-series camera C2PA content credentials signing at capture; hardware security module generates provenance manifest; implements ephemeral session key model from Jenks live-streaming patent for timelapse/video contexts.
P041,Anthropic AI Prov.,Provenance Attestation for AI-Generated Content,3,patent,ai_safety,2024,Anthropic PBC,US2024/AI prov family,2024,pending,Anthropic safety team,"Content provenance assertion system for Claude/AI outputs; cryptographic binding of generation parameters, model version, and user consent to provenance manifest. Reuses assertion graph and authenticity signal vocabulary from AMP/C2PA. Parallel to OpenAI DALL-E C2PA approach."
P042,Witness.org Prov.,Human Rights Media Provenance and Authenticity Chain,3,patent,media_authenticity,2024,Witness.org / NGO consortium,Patent pending / open-source tooling,2023,pending,Human rights media team,Provenance chain for human rights documentation media; tamper-evident chain from field capture through evidentiary use; content authenticity signal for court-admissible media. Implements AMP/C2PA provenance manifest architecture for conflict-zone journalism.
S006,MPEG AI Content ID,ISO/IEC MPEG AI-Generated Content Identification (WG11),4,standard,ai_safety,2024,ISO/IEC JTC 1/SC 29 WG11 (MPEG),,,,,MPEG working group developing international standard for identifying and labeling AI-generated audio-visual content; heavily references C2PA provenance manifest model and AMP assertion-graph architecture as foundational prior art.
I011,YouTube Auth. Label,YouTube — Content Authenticity Initiative Labels,4,implementation,ai_safety,2024,Google / YouTube,,,,,"YouTube AI-generated content disclosure labels using C2PA-conformant provenance signals; Google joined C2PA in 2024. At 2B+ users, the largest single deployment of content authenticity signal UX — the exact 'browser icon' concept prototyped in AMP."
I012,Nikon Z9 C2PA,Nikon Z9 / Zf — First Nikon C2PA Camera,4,implementation,media_authenticity,2024,Nikon Corporation,,,,,Nikon cameras shipping with built-in C2PA content credentials (2024); provenance manifest signed at shutter using NCP (Nikon Content Protocol). Hardware implementation of capture-time provenance; joins Leica and Sony in photojournalism C2PA ecosystem.
I013,TikTok AI Labels,TikTok — AI-Generated Content Labels and C2PA,4,implementation,ai_safety,2024,ByteDance / TikTok,,,,,TikTok AI-generated content labeling system reading C2PA Content Credentials; displays provenance indicator UX (same 'authenticity signal' concept from AMP 2021 paper). Deployed to 1B+ users. Parallel to Instagram/Meta C2PA implementation.
